date,price,open,high,low,vol.,change %
2018-12-18,3668.0,3526.0,3683.1,3456.9,698530.0,4.02
2018-12-19,3687.1,3668.1,3924.7,3647.5,792400.0,0.52
2018-12-20,4076.0,3687.2,4140.3,3665.8,958580.0,10.55
2018-12-21,3850.9,4075.2,4153.1,3786.9,748760.0,-5.52
2018-12-22,3964.4,3850.9,3977.2,3803.7,554590.0,2.95
2018-12-23,3944.4,3964.3,4037.1,3904.6,572210.0,-0.5
2018-12-24,4026.1,3944.5,4208.2,3941.9,716290.0,2.07
2018-12-25,3762.5,4025.6,4030.7,3676.5,670940.0,-6.55
2018-12-26,3793.7,3762.8,3841.9,3680.3,567110.0,0.83
2018-12-27,3586.9,3793.4,3822.6,3560.8,543440.0,-5.45
2018-12-28,3861.6,3587.1,3900.3,3565.5,565240.0,7.66
2018-12-29,3706.8,3861.6,3899.6,3696.0,505410.0,-4.01
2018-12-30,3815.0,3708.2,3837.7,3682.5,519169.99999999994,2.92
2018-12-31,3709.4,3815.1,3819.6,3658.8,545830.0,-2.77
2019-01-01,3809.4,3709.5,3814.3,3664.4,469110.0,2.69
2019-01-02,3873.8,3809.7,3894.8,3768.1,554470.0,1.69
2019-01-03,3780.1,3874.1,3875.8,3753.0,450320.0,-2.42
2019-01-04,3802.7,3780.5,3823.9,3720.0,488700.0,0.6
2019-01-05,3785.4,3802.8,3846.7,3769.0,468450.0,-0.46
2019-01-06,4004.1,3785.7,4034.1,3758.5,529890.0,5.78
2019-01-07,3985.9,4004.3,4028.0,3945.5,500880.0,-0.45
2019-01-08,3971.0,3985.8,4070.5,3943.1,514080.00000000006,-0.37
2019-01-09,3978.0,3971.0,4014.2,3957.5,473420.0,0.17
2019-01-10,3603.7,3978.9,4007.7,3562.1,697310.0,-9.41
2019-01-11,3616.5,3603.3,3655.7,3563.1,551640.0,0.35
2019-01-12,3597.2,3616.6,3633.9,3561.3,435060.0,-0.53
2019-01-13,3490.2,3597.3,3617.6,3473.2,452790.0,-2.98
2019-01-14,3638.1,3490.4,3672.0,3490.4,539930.0,4.24
2019-01-15,3571.3,3637.5,3660.8,3545.7,544850.0,-1.84
2019-01-16,3588.0,3570.6,3644.1,3561.4,487340.0,0.47
2019-01-17,3626.4,3588.1,3636.7,3554.8,525100.0,1.07
2019-01-18,3605.6,3626.3,3627.9,3575.7,488160.0,-0.57
2019-01-19,3677.8,3605.8,3715.2,3604.1,537060.0,2.0
2019-01-20,3542.3,3676.2,3699.1,3503.9,563310.0,-3.68
2019-01-21,3536.7,3542.7,3561.4,3505.4,394170.0,-0.16
2019-01-22,3580.1,3536.9,3607.9,3465.2,447700.0,1.23
2019-01-23,3561.5,3580.1,3608.3,3532.8,445870.0,-0.52
2019-01-24,3574.3,3561.4,3587.0,3539.7,428600.0,0.36
2019-01-25,3572.0,3574.3,3582.6,3542.2,448890.0,-0.06
2019-01-26,3570.9,3572.0,3652.5,3556.1,432550.0,-0.03
2019-01-27,3555.6,3570.9,3583.2,3509.2,464020.0,-0.43
2019-01-28,3442.8,3555.8,3561.2,3395.7,620850.0,-3.17
2019-01-29,3414.8,3442.8,3450.1,3368.2,585460.0,-0.81
2019-01-30,3460.0,3414.6,3479.0,3394.2,600250.0,1.32
2019-01-31,3437.2,3460.0,3484.7,3427.0,477070.0,-0.66
2019-02-01,3467.9,3437.7,3485.7,3415.3,481580.0,0.9
2019-02-02,3502.5,3467.9,3514.5,3447.8,443600.0,1.0
2019-02-03,3459.1,3502.3,3507.8,3431.3,451660.0,-1.24
2019-02-04,3462.8,3459.0,3479.7,3437.1,503920.0,0.11
2019-02-05,3468.4,3463.0,3485.9,3450.3,460950.0,0.16
2019-02-06,3404.3,3468.5,3478.0,3383.9,514210.00000000006,-1.85
2019-02-07,3397.7,3404.9,3421.8,3390.3,471360.0,-0.2
2019-02-08,3661.7,3397.3,3721.1,3382.5,699230.0,7.77
2019-02-09,3661.4,3661.6,3675.3,3633.2,454800.0,-0.01
2019-02-10,3679.0,3661.0,3680.6,3617.1,501900.0,0.48
2019-02-11,3631.8,3678.8,3681.1,3623.8,517280.0,-1.28
2019-02-12,3632.0,3631.8,3656.4,3594.4,545820.0,0.01
2019-02-13,3611.5,3632.0,3663.5,3599.2,558020.0,-0.56
2019-02-14,3592.6,3611.5,3624.5,3580.2,498140.0,-0.52
2019-02-15,3604.7,3592.6,3648.3,3581.4,516210.00000000006,0.34
2019-02-16,3616.8,3604.7,3641.9,3599.7,485630.0,0.34
2019-02-17,3664.2,3616.8,3689.9,3607.9,580510.0,1.31
2019-02-18,3896.0,3664.2,3903.7,3655.1,933150.0,6.33
2019-02-19,3914.3,3896.4,3993.8,3863.7,1440000.0,0.47
2019-02-20,3972.4,3914.3,3983.6,3881.2,698010.0,1.48
2019-02-21,3936.6,3972.0,4011.5,3909.2,668160.0,-0.9
2019-02-22,3965.2,3937.4,3983.1,3931.7,649550.0,0.73
2019-02-23,4120.4,3965.2,4152.6,3939.4,727850.0,3.91
2019-02-24,3755.2,4120.5,4194.2,3738.7,977780.0,-8.86
2019-02-25,3833.7,3755.7,3870.7,3753.8,765870.0,2.09
2019-02-26,3810.3,3833.5,3845.5,3775.0,2089999.9999999998,-0.61
2019-02-27,3814.6,3810.3,3836.4,3701.9,2820000.0,0.11
2019-02-28,3816.6,3814.6,3883.7,3783.3,2310000.0,0.05
2019-03-01,3821.9,3816.7,3855.8,3816.4,1740000.0,0.14
2019-03-02,3823.1,3821.9,3843.2,3783.6,1610000.0,0.03
2019-03-03,3809.5,3823.2,3836.6,3789.7,1510000.0,-0.36
2019-03-04,3715.9,3809.7,3828.4,3681.8,2850000.0,-2.45
2019-03-05,3857.2,3715.9,3873.2,3705.7,3820000.0,3.8
2019-03-06,3863.0,3857.2,3887.3,3816.7,2520000.0,0.15
2019-03-07,3875.1,3863.1,3907.4,3847.9,2600000.0,0.32
2019-03-08,3865.9,3875.1,3929.0,3810.7,2960000.0,-0.24
2019-03-09,3944.3,3865.6,3964.0,3859.7,2480000.0,2.03
2019-03-10,3915.2,3944.4,3944.5,3889.2,1890000.0,-0.74
2019-03-11,3870.3,3915.2,3935.5,3842.4,3190000.0,-1.15
2019-03-12,3886.0,3870.3,3900.1,3817.1,2900000.0,0.41
2019-03-13,3865.1,3885.9,3894.7,3847.4,2280000.0,-0.54
2019-03-14,3879.0,3865.1,3914.7,3828.4,2860000.0,0.36
2019-03-15,3924.3,3879.0,3935.7,3874.8,3110000.0,1.17
2019-03-16,4006.4,3924.4,4050.6,3923.7,3460000.0,2.09
2019-03-17,3981.5,4006.4,4009.8,3956.3,1870000.0,-0.62
2019-03-18,3990.2,3981.5,4032.3,3958.5,2620000.0,0.22
2019-03-19,4017.0,3990.2,4029.9,3972.4,2990000.0,0.67
2019-03-20,4041.2,4017.0,4050.0,3985.3,3180000.0,0.6
2019-03-21,3982.2,4041.2,4064.0,3923.8,3880000.0,-1.46
2019-03-22,3990.4,3982.2,4005.7,3971.8,2830000.0,0.21
2019-03-23,4002.5,3990.4,4018.2,3980.8,2000000.0,0.3
2019-03-24,3994.7,4002.6,4005.7,3967.0,2040000.0,-0.2
2019-03-25,3937.0,3994.8,4000.5,3897.9,2860000.0,-1.44
2019-03-26,3942.8,3937.1,3950.7,3899.9,2530000.0,0.15
2019-03-27,4041.7,3942.8,4043.3,3936.2,2780000.0,2.51
2019-03-28,4025.6,4041.7,4041.7,4008.4,2110000.0,-0.4
2019-03-29,4102.2,4025.7,4123.1,4022.6,3300000.0,1.9
2019-03-30,4111.8,4103.7,4138.1,4057.1,2550000.0,0.23
2019-03-31,4102.3,4111.8,4121.9,4082.2,2430000.0,-0.23
2019-04-01,4145.1,4102.3,4159.1,4076.8,3220000.0,1.04
2019-04-02,4859.3,4145.1,4899.6,4143.5,14770000.0,17.23
2019-04-03,4968.7,4859.3,5278.4,4814.0,13830000.0,2.25
2019-04-04,4902.4,4968.7,5042.5,4789.2,1050000.0,-1.33
2019-04-05,5010.2,4902.5,5029.4,4888.3,851720.0,2.2
2019-04-06,5046.2,5010.0,5198.4,4947.9,952180.0,0.72
2019-04-07,5173.6,5046.1,5219.5,5033.7,841270.0,2.53
2019-04-08,5245.2,5173.5,5300.6,5060.5,928230.0,1.38
2019-04-09,5158.4,5245.0,5245.9,5095.2,784620.0,-1.65
2019-04-10,5307.8,5158.4,5404.1,5142.9,837510.0,2.89
2019-04-11,5022.6,5307.7,5337.0,4948.0,943490.0,-5.37
2019-04-12,5054.2,5022.7,5080.5,4889.2,779140.0,0.63
2019-04-13,5051.8,5054.2,5093.4,5011.6,577160.0,-0.05
2019-04-14,5134.8,5052.0,5153.5,5010.7,566380.0,1.64
2019-04-15,5032.3,5135.1,5168.0,4964.2,688200.0,-2.0
2019-04-16,5180.9,5031.4,5198.4,5014.4,631050.0,2.95
2019-04-17,5208.3,5182.1,5230.9,5165.5,806520.0,0.53
2019-04-18,5264.7,5208.3,5293.1,5205.0,727970.0,1.08
2019-04-19,5241.0,5264.8,5282.4,5192.1,787090.0,-0.45
2019-04-20,5290.2,5241.0,5327.0,5240.2,782320.0,0.94
2019-04-21,5243.5,5290.2,5308.2,5189.8,811410.0,-0.88
2019-04-22,5346.7,5248.2,5370.2,5170.2,920770.0,1.97
2019-04-23,5511.6,5346.5,5594.4,5291.4,900000.0,3.08
2019-04-24,5415.6,5511.2,5589.6,5346.8,994040.0,-1.74
2019-04-25,5209.1,5415.6,5528.2,5137.4,955360.0,-3.81
2019-04-26,5298.3,5209.2,5469.3,5159.3,1030000.0,1.71
2019-04-27,5265.9,5298.2,5318.1,5225.4,833130.0,-0.61
2019-04-28,5302.3,5265.7,5332.5,5234.4,681410.0,0.69
2019-04-29,5235.0,5302.4,5322.9,5188.9,775820.0,-1.27
2019-04-30,5320.8,5235.4,5336.6,5195.9,697420.0,1.64
2019-05-01,5384.2,5321.1,5396.3,5319.5,623640.0,1.19
2019-05-02,5493.8,5384.6,5530.8,5370.0,722230.0,2.04
2019-05-03,5766.8,5493.6,5844.2,5478.7,1040000.0,4.97
2019-05-04,5830.9,5768.0,5899.2,5605.0,920610.0,1.11
2019-05-05,5774.9,5830.8,5838.2,5708.2,709020.0,-0.96
2019-05-06,5745.1,5775.1,5801.4,5630.5,755390.0,-0.52
2019-05-07,5849.5,5745.5,6019.8,5745.5,955880.0,1.82
2019-05-08,5990.3,5849.4,6011.3,5799.1,757130.0,2.41
2019-05-09,6191.5,5990.5,6206.0,5990.0,799960.0,3.36
2019-05-10,6386.0,6194.3,6466.6,6157.8,907940.0,3.14
2019-05-11,7190.3,6386.6,7373.8,6386.5,1310000.0,12.59
2019-05-12,6984.8,7190.0,7518.9,6802.6,1350000.0,-2.86
2019-05-13,7806.0,6984.7,8058.3,6893.1,1200000.0,11.76
2019-05-14,7994.6,7806.4,8323.9,7674.0,1330000.0,2.42
2019-05-15,8164.6,7994.8,8225.3,7856.5,1130000.0,2.13
2019-05-16,7871.8,8164.8,8293.3,7720.4,1180000.0,-3.59
2019-05-17,7359.5,7871.9,7924.0,6998.6,1430000.0,-6.51
2019-05-18,7262.6,7359.9,7458.5,7189.4,865530.0,-1.32
2019-05-19,8157.2,7261.9,8253.4,7252.3,1080000.0,12.32
2019-05-20,7965.3,8156.4,8156.4,7604.0,958810.0,-2.35
2019-05-21,7930.3,7965.0,8056.8,7813.2,804880.0,-0.44
2019-05-22,7635.7,7928.7,7999.0,7545.9,821400.0,-3.72
2019-05-23,7852.1,7637.2,7939.1,7486.8,815140.0,2.83
2019-05-24,7970.1,7852.8,8124.1,7775.4,868470.0,1.5
2019-05-25,8027.4,7971.4,8090.1,7919.1,691270.0,0.72
2019-05-26,8630.2,8029.6,8718.6,7866.5,872120.0,7.51
2019-05-27,8760.1,8628.9,8902.8,8607.3,907960.0,1.51
2019-05-28,8716.3,8759.4,8794.1,8568.8,763200.0,-0.5
2019-05-29,8647.8,8715.6,8747.2,8435.3,15430000.0,-0.79
2019-05-30,8271.9,8647.8,9045.9,8054.7,1040000.0,-4.35
2019-05-31,8558.3,8271.4,8578.8,8135.0,858410.0,3.46
2019-06-01,8545.7,8556.9,8615.8,8454.0,686750.0,-0.15
2019-06-02,8728.6,8545.8,8807.7,8534.8,614540.0,2.14
2019-06-03,8124.8,8728.6,8734.9,8102.7,739450.0,-6.92
2019-06-04,7685.5,8118.1,8118.1,7494.0,966950.0,-5.41
2019-06-05,7779.1,7685.6,7885.0,7590.4,762940.0,1.22
2019-06-06,7784.9,7779.6,7861.4,7480.4,651820.0,0.08
2019-06-07,7985.2,7785.8,8099.4,7749.4,588870.0,2.57
2019-06-08,7901.4,7985.3,8044.4,7770.5,485810.0,-1.05
2019-06-09,7635.0,7901.6,7937.5,7516.9,554480.0,-3.37
2019-06-10,7987.8,7635.0,8012.8,7523.6,641380.0,4.62
2019-06-11,7888.0,7987.8,8010.4,7714.5,579000.0,-1.25
2019-06-12,8133.1,7888.0,8198.1,7805.8,607890.0,3.11
2019-06-13,8219.0,8132.4,8306.1,8028.6,574210.0,1.06
2019-06-14,8656.1,8218.6,8685.3,8153.2,643170.0,5.32
2019-06-15,8812.5,8655.8,8856.7,8582.3,608690.0,1.81
2019-06-16,8962.5,8812.2,9332.0,8771.1,849770.0,1.7
2019-06-17,9318.8,8961.0,9438.1,8959.8,738800.0,3.98
2019-06-18,9080.6,9318.9,9336.1,8962.7,723170.0,-2.56
2019-06-19,9255.4,9080.7,9295.1,9044.0,587570.0,1.93
2019-06-20,9517.0,9255.0,9583.9,9188.4,693620.0,2.83
2019-06-21,10179.3,9517.7,10184.3,9517.4,769120.0,6.96
2019-06-22,10721.7,10178.1,11160.5,10031.3,1090000.0,5.33
2019-06-23,10897.1,10721.5,11361.3,10557.8,683790.0,1.64
2019-06-24,11046.4,10897.3,11114.4,10622.6,566960.0,1.37
2019-06-25,11809.9,11046.6,11833.9,11033.7,781090.0,6.91
2019-06-26,13063.8,11811.6,13929.8,11747.3,1480000.0,10.62
2019-06-27,11287.8,13062.4,13422.0,10493.5,1590000.0,-13.59
2019-06-28,12409.1,11288.4,12461.8,10970.5,1090000.0,9.93
2019-06-29,11906.5,12408.0,12422.9,11490.8,834620.0,-4.05
2019-06-30,10818.6,11906.0,12179.3,10765.4,880770.0,-9.14
2019-07-01,10616.6,10821.4,11254.5,10041.6,1040000.0,-1.87
2019-07-02,10835.9,10615.5,10923.5,9728.5,1120000.0,2.07
2019-07-03,11900.8,10835.9,11931.8,10835.9,998730.0,9.83
2019-07-04,11163.1,11899.3,11948.0,11087.1,840340.0,-6.2
2019-07-05,10970.2,11159.7,11381.8,10810.3,772670.0,-1.73
2019-07-06,11268.0,10969.8,11650.2,10967.9,688960.0,2.71
2019-07-07,11415.9,11267.9,11524.6,11108.1,601930.0,1.31
2019-07-08,12252.6,11415.8,12332.3,11304.8,695600.0,7.33
2019-07-09,12541.5,12250.6,12772.9,12111.2,847840.0,2.36
2019-07-10,12110.6,12542.8,13134.4,11594.9,1110000.0,-3.44
2019-07-11,11342.3,12111.6,12111.6,11029.0,943130.0,-6.34
2019-07-12,11762.1,11343.7,11881.4,11109.8,738170.0,3.7
2019-07-13,11364.9,11762.8,11798.4,10839.4,747710.0,-3.38
2019-07-14,10200.1,11364.3,11448.7,10128.9,840760.0,-10.25
2019-07-15,10845.9,10199.9,11064.7,9885.4,956520.0,6.33
2019-07-16,9424.8,10844.0,11019.5,9375.3,1050000.0,-13.1
2019-07-17,9723.2,9425.1,9983.6,9082.6,1030000.0,3.17
2019-07-18,10651.4,9723.1,10787.1,9390.0,974490.0,9.55
2019-07-19,10571.5,10651.6,10758.4,10160.7,727790.0,-0.75
2019-07-20,10826.7,10571.9,11155.6,10462.0,668940.0,2.41
